,站点,编号,Lng,Lat,lambda,站点_,out_lambda
0,奥体中心,1,118.71293004756,32.0108384266933,0.611111111111111,奥体中心,3.027777777777777
1,元通,2,118.716292040679,31.9978967922956,16.23888888888889,元通,25.24166666666667
2,中胜,3,118.728283054112,31.9902280445245,15.172222222222224,中胜,30.95555555555556
3,小行,4,118.739156216275,31.9844281695514,17.911111111111108,小行,9.40277777777778
4,安德门,5,118.766667,31.9875,13.833333333333336,安德门,26.41944444444444
5,中华门,6,118.769493644779,32.008978495402,13.772222222222224,中华门,23.45555555555556
6,三山街,7,118.776501934076,32.0249112339093,21.47222222222222,三山街,33.736111111111114
7,张府园,8,118.778798909611,32.0330366067603,21.25,张府园,26.941666666666663
8,新街口,9,118.778961057688,32.0430649020868,351.82222222222225,新街口,99.10833333333332
9,珠江路,10,118.779014347575,32.0531402061822,41.42777777777778,珠江路,50.81666666666665
10,鼓楼,11,118.77861514078,32.0609523319245,61.95000000000001,鼓楼,45.94722222222222
11,玄武门,12,118.778958873253,32.0721512297481,14.027777777777777,玄武门,25.73611111111111
12,新模范马路,13,118.778623777869,32.0819501388918,19.316666666666663,新模范马路,29.791666666666668
13,南京站,14,118.790792534641,32.0884793183805,6.877777777777777,南京站,18.502777777777776
14,红山动物园,15,118.796871379299,32.0978369787115,8.33888888888889,红山动物园,22.29722222222222
15,迈皋桥,16,118.804476929329,32.1047800221339,129.58333333333334,迈皋桥,54.51111111111111
16,油坊桥,17,118.716136537886,31.9684528145053,135.19444444444446,油坊桥,39.738888888888894
17,雨润大街,18,118.71745212701,31.9856612187076,5.35,雨润大街,15.216666666666669
18,奥体东,19,118.723984305265,32.0067790225695,20.355555555555554,奥体东,39.91111111111111
19,兴隆大街,20,118.730836029005,32.0175678478258,8.36111111111111,兴隆大街,19.036111111111108
20,集庆门大街,21,118.734329406442,32.0305577582865,19.494444444444447,集庆门大街,45.99166666666667
21,云锦路,22,118.742186285378,32.0370826652881,7.644444444444445,云锦路,23.33055555555556
22,莫愁湖,23,118.753545093292,32.0397459821284,11.161111111111111,莫愁湖,14.908333333333331
23,汉中门,24,118.76181409538,32.0447635608273,15.538888888888888,汉中门,24.905555555555555
24,上海路,25,118.770837699287,32.0442502234741,14.33888888888889,上海路,26.297222222222224
25,大行宫,26,118.789688522587,32.0438580341887,37.85555555555556,大行宫,51.18055555555556
26,西安门,27,118.800554244319,32.0422818244261,13.255555555555556,西安门,23.25833333333333
27,明故宫,28,118.814296121624,32.0412958318247,9.472222222222223,明故宫,18.29444444444444
28,苜蓿园,29,118.829995292996,32.0421848196004,4.266666666666667,苜蓿园,10.863888888888887
29,下马坊,30,118.843394894264,32.0396656006026,9.233333333333333,下马坊,18.18611111111111
30,孝陵卫,31,118.853279255399,32.0376586720313,6.633333333333335,孝陵卫,12.033333333333337
31,钟灵街,32,118.864354007062,32.0413809501,2.8666666666666663,钟灵街,11.022222222222222
32,马群,33,118.88954428411,32.0518651111332,59.29444444444445,马群,31.37777777777778
33,金马路,34,118.900807625171,32.0737502913737,0.7222222222222221,金马路,3.805555555555556
34,仙鹤门,35,118.899859380564,32.0871202930512,6.305555555555556,仙鹤门,12.516666666666667
35,学则路,36,118.911831956503,32.0935803111634,3.561111111111112,学则路,9.447222222222225
36,仙林中心,37,118.925384636277,32.1010114801202,0.9888888888888888,仙林中心,4.677777777777778
37,羊山公园,38,118.935015065674,32.1060830720506,2.211111111111111,羊山公园,1.9777777777777776
38,南大仙林校区,39,118.954200332898,32.1109541899856,1.811111111111111,南大仙林校区,5.0
39,经天路,40,118.971499121183,32.1183235074634,8.577777777777778,经天路,8.666666666666668
40,天隆寺,41,118.757900697339,31.9813393344094,14.68888888888889,天隆寺,33.70555555555556
41,软件大道,42,118.76935172254,31.9792148859908,34.93333333333333,软件大道,114.26944444444442
42,花神庙,43,118.780396634885,31.9799253047933,7.783333333333334,花神庙,14.77222222222222
43,南京南站,44,118.792924749867,31.9706391413485,10.705555555555554,南京南站,10.78611111111111
44,双龙大道,45,118.81202167082,31.9660655837794,35.00555555555556,双龙大道,21.055555555555557
45,河定桥,46,118.815039509508,31.9541625494218,11.38888888888889,河定桥,15.983333333333333
46,胜太路,47,118.816460461615,31.9459042765622,4.844444444444445,胜太路,11.458333333333334
47,百家湖,48,118.816127968241,31.9339928122324,3.844444444444444,百家湖,9.966666666666669
48,小龙湾,49,118.827758023493,31.9318589285632,2.5,小龙湾,6.691666666666666
49,竹山路,50,118.839480399559,31.9341161979074,11.216666666666663,竹山路,11.988888888888887
50,天印大道,51,118.858410498018,31.9398911441827,2.8,天印大道,6.916666666666666
51,龙眠大道,52,118.871974926143,31.9421327547777,15.083333333333334,龙眠大道,10.008333333333333
52,南医大江苏经贸学院,53,118.891667,31.935278,1.0833333333333333,南医大江苏经贸学院,2.788888888888889
53,南京交院,54,118.89963933694,31.9152006115524,4.566666666666666,南京交院,5.877777777777777
54,中国药科大学,55,118.909086123543,31.899929770277,4.533333333333333,中国药科大学,6.436111111111112
55,梦都大街,56,118.716754331786,32.0178785931923,1.811111111111111,梦都大街,3.925
56,绿博园,57,118.712144329727,32.0262293517172,0.8444444444444444,绿博园,1.3361111111111112
57,江心洲,58,118.698435625522,32.0344951663908,0.8111111111111112,江心洲,1.8277777777777775
58,浦口万汇城,60,118.651558471518,32.0641264143529,0.7222222222222221,浦口万汇城,2.219444444444445
59,南京工业大学,61,118.643032159732,32.0690311032511,1.0833333333333333,南京工业大学,5.227777777777777
60,龙华路,62,118.6302803961,32.0668489314463,3.2333333333333343,龙华路,5.361111111111112
61,文德路,63,118.621772899268,32.0597288079018,3.933333333333334,文德路,3.925
62,雨山路,64,118.610247602951,32.0467798203773,2.788888888888889,雨山路,2.1722222222222225
63,翔宇路南,66,118.824039611789,31.7568826681139,1.411111111111111,翔宇路南,1.0
64,翔宇路北,67,118.816564795951,31.7937392255345,1.1666666666666667,翔宇路北,1.5750000000000002
65,正方中路,68,118.800682372114,31.8473840767858,1.277777777777778,正方中路,1.3111111111111111
66,吉印大道,69,118.790360160226,31.888187952612,1.0,吉印大道,0.9194444444444444
67,河海大学佛城西路,70,118.800833,31.92,1.1444444444444444,河海大学佛城西路,2.180555555555556
68,翠屏山,71,118.779456532024,31.9445743268818,0.9277777777777776,翠屏山,4.080555555555556
69,泰山新村,72,118.710829581757,32.1467628284208,2.516666666666667,泰山新村,3.344444444444444
70,泰冯路,73,118.712301561588,32.155913470539,1.8944444444444448,泰冯路,7.769444444444444
71,高新开发区,74,118.714443957259,32.1799165838496,4.422222222222223,高新开发区,1.166666666666667
72,信息工程大学,75,118.721824645822,32.2048835950645,1.7666666666666664,信息工程大学,5.33611111111111
73,卸甲甸,76,118.725479356345,32.2168128368737,2.8,卸甲甸,3.922222222222222
74,大厂,77,118.734818722278,32.2310447092317,2.955555555555556,大厂,3.2166666666666663
75,葛塘,78,118.748451222039,32.2465866902141,1.9333333333333331,葛塘,2.736111111111111
76,长芦,79,118.771487055945,32.275593329991,1.583333333333333,长芦,0.5805555555555556
77,化工园,80,118.780468668201,32.2876800818428,1.2,化工园,1.6749999999999996
78,龙池,82,118.815231367837,32.3211935973343,0.95,龙池,2.191666666666667
79,雄州,83,118.831639789537,32.3368410939641,1.811111111111112,雄州,1.7138888888888888
80,凤凰山公园,84,118.840074024607,32.3491794213165,3.733333333333333,凤凰山公园,1.7472222222222222
81,方州广场,85,118.844823974281,32.3613610597718,2.488888888888889,方州广场,1.422222222222222
82,八百桥,87,118.928112181349,32.4292480021992,2.1277777777777778,八百桥,0.9555555555555554
83,金牛湖,88,118.958928213401,32.467266815036,5.033333333333334,金牛湖,0.8888888888888888
