,站点,编号,Lng,Lat,lambda,站点_,out_lambda
0,奥体中心,1,118.71293004756,32.0108384266933,20.45,奥体中心,22.172222222222224
1,元通,2,118.716292040679,31.9978967922956,160.61666666666667,元通,164.0
2,中胜,3,118.728283054112,31.9902280445245,139.07777777777775,中胜,150.00555555555556
3,小行,4,118.739156216275,31.9844281695514,94.77222222222224,小行,94.79444444444444
4,安德门,5,118.766667,31.9875,178.86666666666667,安德门,191.0555555555556
5,中华门,6,118.769493644779,32.008978495402,170.27777777777777,中华门,159.88888888888889
6,三山街,7,118.776501934076,32.0249112339093,259.82222222222225,三山街,273.87777777777774
7,张府园,8,118.778798909611,32.0330366067603,194.7555555555556,张府园,205.13888888888889
8,新街口,9,118.778961057688,32.0430649020868,980.0722222222224,新街口,1005.8277777777778
9,珠江路,10,118.779014347575,32.0531402061822,346.0777777777777,珠江路,376.5
10,鼓楼,11,118.77861514078,32.0609523319245,357.7,鼓楼,370.1777777777778
11,玄武门,12,118.778958873253,32.0721512297481,191.27777777777777,玄武门,193.8555555555556
12,新模范马路,13,118.778623777869,32.0819501388918,183.59444444444443,新模范马路,185.01666666666665
13,南京站,14,118.790792534641,32.0884793183805,189.56111111111116,南京站,161.8222222222222
14,红山动物园,15,118.796871379299,32.0978369787115,96.19444444444444,红山动物园,110.30555555555556
15,迈皋桥,16,118.804476929329,32.1047800221339,469.42777777777775,迈皋桥,425.6333333333333
16,油坊桥,17,118.716136537886,31.9684528145053,399.7611111111111,油坊桥,391.4722222222223
17,雨润大街,18,118.71745212701,31.9856612187076,98.75555555555556,雨润大街,96.10555555555554
18,奥体东,19,118.723984305265,32.0067790225695,200.22777777777776,奥体东,209.71111111111117
19,兴隆大街,20,118.730836029005,32.0175678478258,121.42222222222225,兴隆大街,111.45
20,集庆门大街,21,118.734329406442,32.0305577582865,250.58333333333331,集庆门大街,255.86111111111111
21,云锦路,22,118.742186285378,32.0370826652881,137.7277777777778,云锦路,136.75555555555553
22,莫愁湖,23,118.753545093292,32.0397459821284,113.9722222222222,莫愁湖,112.69444444444444
23,汉中门,24,118.76181409538,32.0447635608273,172.23333333333338,汉中门,173.9888888888889
24,上海路,25,118.770837699287,32.0442502234741,244.59444444444443,上海路,258.7888888888889
25,大行宫,26,118.789688522587,32.0438580341887,358.18333333333334,大行宫,375.8944444444445
26,西安门,27,118.800554244319,32.0422818244261,140.2277777777778,西安门,142.39444444444445
27,明故宫,28,118.814296121624,32.0412958318247,153.27222222222224,明故宫,145.07777777777775
28,苜蓿园,29,118.829995292996,32.0421848196004,101.42777777777776,苜蓿园,98.23888888888888
29,下马坊,30,118.843394894264,32.0396656006026,138.86666666666667,下马坊,136.90555555555554
30,孝陵卫,31,118.853279255399,32.0376586720313,86.85555555555555,孝陵卫,103.51111111111112
31,钟灵街,32,118.864354007062,32.0413809501,86.66666666666667,钟灵街,82.67222222222222
32,马群,33,118.88954428411,32.0518651111332,285.0,马群,256.6555555555556
33,金马路,34,118.900807625171,32.0737502913737,25.56111111111112,金马路,26.444444444444446
34,仙鹤门,35,118.899859380564,32.0871202930512,104.42777777777778,仙鹤门,103.9888888888889
35,学则路,36,118.911831956503,32.0935803111634,82.04444444444445,学则路,82.87222222222222
36,仙林中心,37,118.925384636277,32.1010114801202,45.83888888888888,仙林中心,45.85
37,羊山公园,38,118.935015065674,32.1060830720506,23.116666666666664,羊山公园,20.272222222222226
38,南大仙林校区,39,118.954200332898,32.1109541899856,42.80555555555556,南大仙林校区,46.94444444444445
39,经天路,40,118.971499121183,32.1183235074634,88.44444444444444,经天路,85.30000000000001
40,天隆寺,41,118.757900697339,31.9813393344094,189.4777777777778,天隆寺,187.55
41,软件大道,42,118.76935172254,31.9792148859908,186.7888888888889,软件大道,191.98888888888888
42,花神庙,43,118.780396634885,31.9799253047933,84.51111111111112,花神庙,85.39999999999999
43,南京南站,44,118.792924749867,31.9706391413485,186.2166666666667,南京南站,130.88888888888889
44,双龙大道,45,118.81202167082,31.9660655837794,192.4,双龙大道,190.37222222222223
45,河定桥,46,118.815039509508,31.9541625494218,136.35555555555555,河定桥,142.9
46,胜太路,47,118.816460461615,31.9459042765622,104.9611111111111,胜太路,105.95555555555556
47,百家湖,48,118.816127968241,31.9339928122324,90.53333333333332,百家湖,98.90555555555554
48,小龙湾,49,118.827758023493,31.9318589285632,49.54444444444444,小龙湾,44.99444444444444
49,竹山路,50,118.839480399559,31.9341161979074,111.76666666666668,竹山路,110.94444444444449
50,天印大道,51,118.858410498018,31.9398911441827,67.23333333333333,天印大道,67.87222222222222
51,龙眠大道,52,118.871974926143,31.9421327547777,128.26111111111112,龙眠大道,129.30555555555554
52,南医大江苏经贸学院,53,118.891667,31.935278,31.54444444444444,南医大江苏经贸学院,29.55
53,南京交院,54,118.89963933694,31.9152006115524,69.31111111111112,南京交院,71.4888888888889
54,中国药科大学,55,118.909086123543,31.899929770277,69.52777777777779,中国药科大学,68.75000000000001
55,梦都大街,56,118.716754331786,32.0178785931923,24.46666666666666,梦都大街,25.58888888888889
56,绿博园,57,118.712144329727,32.0262293517172,13.283333333333331,绿博园,12.633333333333336
57,江心洲,58,118.698435625522,32.0344951663908,23.62222222222222,江心洲,23.883333333333333
